F_V,,F_B,,F_M,,F_E,,F_W,
X,Y,X,Y,X,Y,X,Y,X,Y
4,45,3.961161382,9.851446082,3.961611386,4.820375198,3.904531748,26.16406365,3.959919056,0.011306965
3.879352666,27.32123147,3.853043942,9.738023731,3.862054984,4.554981408,3.811816163,21.1110032,3.837451674,0.010462844
3.786650861,22.33565296,3.742054421,9.724652936,3.789141638,4.374921501,3.719098736,17.00399645,3.736436165,0.009358217
3.694034022,19.79742856,3.651249836,9.760264592,3.650354394,4.16313171,3.626403135,13.98340762,2.529854928,0.0093022
3.601408735,17.40716151,3.533549751,9.896256926,3.543805462,3.987790246,3.533690691,11.31656654,2.488284787,0.014559358
3.508792809,15.44242465,3.445855044,9.808872659,3.4779254,3.927815516,3.441008163,9.422777048,2.436758225,0.019815537
3.416210582,14.14585203,3.342945611,9.723084086,3.355974956,3.811021255,3.348342693,7.974297914,2.395873508,0.115976884
3.323603423,12.65434557,3.232947804,9.809643926,3.256252897,3.721516045,3.25565436,6.603246353,2.395692553,0.073366176
3.231028045,11.66766136,3.14844045,9.762448991,3.183561544,3.649317937,3.162949059,5.380355561,2.409071566,0.027401378
3.138420886,10.43744969,3.054269422,9.768711406,3.053210508,3.566490769,3.083280727,4.40182093,2.401417258,0.056145306
3.045859755,9.754970773,2.964296868,9.722835355,2.961642233,3.524473528,2.999079853,3.556502356,2.405156372,0.036071188
2.953313784,9.249588295,2.850774935,9.617944918,2.880796926,3.414606576,2.921606566,3.031809499,2.377617748,0.217879588
2.860746534,8.594594572,2.757167585,9.652830881,2.750448801,3.346362924,2.84799354,2.524963628,2.348614258,0.326525116
2.768161294,7.850432652,2.629636723,9.591651048,2.642800681,3.272930523,2.795716496,2.059331861,2.298495986,0.447344221
2.675604272,7.365860218,2.526638852,9.613828627,2.578045492,3.235328374,2.712982153,1.598586336,2.2105747,0.632918254
2.58305136,6.938277364,2.425315105,9.567420608,2.464511907,3.165133219,2.671772432,1.217771364,2.121473456,0.792084208
2.490498449,6.535515384,2.314325584,9.55428406,2.356861321,3.08842286,2.607212589,0.868035479,2.03231424,0.938075951
2.397955126,6.212561964,2.202919416,9.575378483,2.29211442,3.077111622,2.548537342,0.605523631,1.930872414,1.089338701
2.305406324,5.874855932,2.105799818,9.529652031,2.161765268,3.012666388,2.51179719,0.423906109,1.848491721,1.197656872
2.212864371,5.591833276,1.974633398,9.541513156,2.054549891,2.981343103,2.459092678,0.334516238,1.757294742,1.307122417
2.120326528,5.343299415,1.875412479,9.502511445,1.985156326,2.908442549,2.460491321,0.21640562,1.642490596,1.448254926
2.027785945,5.09251838,1.772834269,9.51770658,1.850618551,2.889758109,2.44453633,0.156621779,1.535131611,1.561272283
1.935250841,4.878879637,1.664784638,9.477766252,1.758124544,2.878936089,2.428425742,0.112767304,1.425892396,1.664404686
1.842711628,4.655960632,1.561868891,10.27180491,1.6067478,2.799602,2.416389919,0.084317062,1.331185561,1.749006679
1.750172415,4.443226934,1.448274003,9.479542199,1.500227635,2.756110176,2.386596421,0.063360353,1.223266166,1.838445052
1.657637312,4.256826935,1.343167277,9.440105937,1.43435134,2.724407878,2.335180213,0.149390469,1.123336017,1.898642225
1.565107688,4.099566139,1.233863182,9.461194474,1.312428636,2.714100749,2.36983501,0.101876935,1.037992305,1.983789847
1.472579434,3.953264767,1.125398411,9.468842226,1.214884993,2.691811414,2.271408749,0.22631441,,
1.38004707,3.797306066,1.036258694,9.353079362,1.135827914,2.640778765,2.176687153,0.291345001,,
1.287524296,3.680933844,,,1.039145055,2.66932474,2.085113599,0.378806566,,
1.194998781,3.558837998,,,,,1.999967194,0.431404324,,
1.102477377,3.454273566,,,,,1.907592503,0.481462465,,
1.026814865,3.491205939,,,,,1.815203702,0.530163146,,
,,,,,,1.722790921,0.570619713,,
,,,,,,1.636198863,0.613970219,,
,,,,,,1.537921135,0.63379011,,
,,,,,,1.445469594,0.657453628,,
,,,,,,1.353019423,0.682890223,,
,,,,,,1.260576101,0.713948968,,
,,,,,,1.1681273,0.742538609,,
,,,,,,1.079871551,0.764201867,,